original_mRNAID	new_ID
SRR15192315_FUN_000001-T1	SRR15192315_HAC1
SRR15192315_FUN_000002-T1	SRR15192315_REV3
SRR15192315_FUN_000003-T1	SRR15192315_wis1
SRR15192315_FUN_000004-T1	SRR15192315_ARC35
SRR15192315_FUN_000005-T1	SRR15192315_MRPS12
SRR15192315_FUN_000006-T1	SRR15192315_ACP2
SRR15192315_FUN_000007-T1	SRR15192315_QCR10
SRR15192315_FUN_000010-T1	SRR15192315_RGD1
SRR15192315_FUN_000011-T1	SRR15192315_CHS7
SRR15192315_FUN_000012-T1	SRR15192315_MDM34
SRR15192315_FUN_000013-T1	SRR15192315_GPX2_1
SRR15192315_FUN_000016-T1	SRR15192315_YVC1
SRR15192315_FUN_000017-T1	SRR15192315_NST1
SRR15192315_FUN_000018-T1	SRR15192315_SOU1
SRR15192315_FUN_000019-T1	SRR15192315_vps5
SRR15192315_FUN_000021-T1	SRR15192315_SMY2
SRR15192315_FUN_000022-T1	SRR15192315_UMP1
SRR15192315_FUN_000024-T1	SRR15192315_NOP1
SRR15192315_FUN_000028-T1	SRR15192315_GUT2
SRR15192315_FUN_000030-T1	SRR15192315_MSY1
SRR15192315_FUN_000029-T1	SRR15192315_MET22
SRR15192315_FUN_000031-T1	SRR15192315_prh1
SRR15192315_FUN_000033-T1	SRR15192315_PNG1
SRR15192315_FUN_000035-T1	SRR15192315_ALG6
SRR15192315_FUN_000038-T1	SRR15192315_atg6
SRR15192315_FUN_000040-T1	SRR15192315_TMN2
SRR15192315_FUN_000042-T1	SRR15192315_ARG83
SRR15192315_FUN_000045-T1	SRR15192315_RPN1
SRR15192315_FUN_000044-T1	SRR15192315_vma16
SRR15192315_FUN_000046-T1	SRR15192315_cwf16
SRR15192315_FUN_000048-T1	SRR15192315_SEC6
SRR15192315_FUN_000049-T1	SRR15192315_PBP1
SRR15192315_FUN_000052-T1	SRR15192315_nrf1
SRR15192315_FUN_000053-T1	SRR15192315_mug86_1
SRR15192315_FUN_000056-T1	SRR15192315_PRS1_1
SRR15192315_FUN_000059-T1	SRR15192315_RRP5
SRR15192315_FUN_000060-T1	SRR15192315_TRM8_1
SRR15192315_FUN_000062-T1	SRR15192315_PRP24
SRR15192315_FUN_000063-T1	SRR15192315_CDC60
SRR15192315_FUN_000064-T1	SRR15192315_CDC4
SRR15192315_FUN_000066-T1	SRR15192315_SEC65
SRR15192315_FUN_000067-T1	SRR15192315_URA5
SRR15192315_FUN_000069-T1	SRR15192315_SCS7
SRR15192315_FUN_000070-T1	SRR15192315_ZDS1
SRR15192315_FUN_000071-T1	SRR15192315_RCE1
SRR15192315_FUN_000072-T1	SRR15192315_LYS4
SRR15192315_FUN_000082-T1	SRR15192315_GEP3
SRR15192315_FUN_000084-T1	SRR15192315_DBP5
SRR15192315_FUN_000088-T1	SRR15192315_PMP3_1
SRR15192315_FUN_000089-T1	SRR15192315_POX1_1
SRR15192315_FUN_000090-T1	SRR15192315_POX1_2
SRR15192315_FUN_000091-T1	SRR15192315_rna1
SRR15192315_FUN_000092-T1	SRR15192315_BUL1_1
SRR15192315_FUN_000093-T1	SRR15192315_TPN1
SRR15192315_FUN_000094-T1	SRR15192315_RSA3
SRR15192315_FUN_000096-T1	SRR15192315_TUS1
